ORIG_FID,D_Angle,POINT_X,POINT_Y,SVI_ID,building,sky,tree,road,sidewalk,person,car,skyscraper,streetlight,wall,fence,railing,awning,signboard,ashcan,earth,van,plant,chair,bulletin board,grass,bicycle,ceiling,minibike,windowpane,mountain,column,bridge,water,sculpture,fountain,booth,lamp,pier,glass,sofa
104,32.96825525,-74.01047761,40.71151563,65,0.239715,0.028781,0.225566,0.318094,0.032969,0.005449,0.055168,0.0,0.002922,0.013,0.003602,0.051043,0.0,0.004445,0.0,0.0,0.0,0.002754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,33.47878119,-74.01090342,40.71086218,66,0.428695,0.069438,0.012848,0.313031,0.066965,0.00025,0.029828,0.023562,0.002293,0.001402,0.047195,0.0,0.0,0.002363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,31.99196146,-74.01015072,40.7120382,67,0.53468,0.043117,0.0,0.361379,0.047598,0.005707,0.002152,0.0,0.000223,0.0,0.000375,0.0,0.0,0.001367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,35.32964879,-74.00977827,40.71256918,68,0.452656,0.051242,0.0,0.300105,0.001734,0.002652,0.09741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000316,0.0,0.000293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,37.8925192,-74.00930339,40.71319321,69,0.469938,0.063707,0.0,0.391539,0.010137,1.6e-05,0.043574,0.0,0.00041,0.003391,0.002043,0.0,0.0,0.002238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,38.04687534,-74.00888869,40.71372346,70,0.485074,0.059098,0.0,0.408215,0.029207,0.001184,0.002988,0.0,0.000629,0.0,0.0,0.0,0.005926,0.000277,3.9e-05,0.0,0.007324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,38.16138914,-74.00846504,40.71426287,71,0.490383,0.055809,0.000488,0.411918,0.014059,0.0,0.018914,0.0,0.000164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,38.39475099,-74.00801809,40.71482772,72,0.503094,0.048637,0.000336,0.35702,0.016145,0.007039,0.050168,0.007789,0.000168,0.0,0.0,0.0,0.0,0.000457,0.001949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,38.29457127,-74.00717575,40.7158989,73,0.52402,0.036648,0.0,0.360812,0.015172,0.0,0.061203,0.0,0.0,8e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000426,0.0,0.0,0.0,0.001117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,38.40008434,-74.00672842,40.71646366,74,0.474547,0.061641,0.004324,0.372008,0.006676,0.000531,0.0495,0.0,3.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,38.02868291,-74.00630835,40.71699985,75,0.464328,0.047113,0.035645,0.396523,0.021102,0.006078,0.008938,0.0,0.000473,0.0,0.0,0.0,0.0,0.0,3.1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,38.13122053,-74.00588234,40.71754283,76,0.494602,0.046164,0.0,0.286395,0.007051,0.0,0.072555,0.0,0.002652,0.0,0.0,0.0,0.0,0.000871,0.0,0.0,0.089711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,37.24144351,-74.00541792,40.7181494,77,0.448055,0.096117,0.000234,0.405359,0.013969,0.002547,0.021945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,39.55803464,-74.0049455,40.71873119,78,0.418965,0.088434,0.013766,0.325336,0.01952,2.7e-05,0.067605,0.0,7e-05,5.9e-05,0.000223,0.0,0.000898,0.000355,0.0,0.0,0.010457,0.001008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,37.60579766,-74.00448249,40.71932348,79,0.463359,0.095914,0.001004,0.408793,0.01993,0.002566,0.006785,0.0,0.0,0.000156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
