ORIG_FID,bike_lane,bike_trafd,frm_lvl_co,full_stree,l_blkfc_id,l_high_hn,l_low_hn,l_zip,date_modif,time_modif,physicalid,post_direc,post_modif,post_type,pre_direct,pre_modifi,pre_type,r_blkfc_id,r_high_hn,r_low_hn,r_zip,rw_type,shape_leng,snow_pri,st_label,st_name,st_width,status,to_lvl_co,trafdir,D_Angle,POINT_X,POINT_Y,SVI_ID
10184,,,9,FDR DR  VIADUCT,1222607157,,,10004.0,8/28/2020,00:00:00,145783,,VIADUCT,DR,,,,1222607168,,,10004.0,2,369.9511725,C,FDR DR VIADUCT,FDR,22,2,9,TF,81.01220119,-74.01257386,40.70137867,11813
11491,1.0,TW,13,PETER MINUIT PLAZA GREENWAY,0,,,10004.0,4/19/2018,00:00:00,176758,,,,,,,0,,,10004.0,6,235.2452089,,PETER MINUIT PLAZA GREENWAY,PETER MINUIT PLAZA GREENWAY,0,2,13,NV,159.1942833,-74.01269411,40.70160637,13302
105,3.0,FT,13,CHURCH ST,212260904,38,20,10007.0,5/2/2022,00:00:00,143,,,ST,,,,212261921,37,19,10007.0,1,265.3339263,C,CHURCH ST,CHURCH,54,2,13,FT,33.47878119,-74.01090342,40.71086218,66
8117,,,13,DEY ST,212261920,21,1,10007.0,11/13/2020,00:00:00,99638,,,ST,,,,212261453,28,2,10007.0,1,428.8896407,S,DEY ST,DEY,24,2,13,FT,294.5010655,-74.01055432,40.71090509,9996
104,3.0,FT,13,CHURCH ST,212260904,54,40,10007.0,5/2/2022,00:00:00,142,,,ST,,,,212261452,55,39,10007.0,1,210.1089355,C,CHURCH ST,CHURCH,54,2,13,FT,32.96825525,-74.01047761,40.71151563,65
121,3.0,FT,13,CHURCH ST,212260904,18,2,10048.0,5/2/2022,00:00:00,160,,,ST,,,,212260678,17,1,10006.0,1,276.0344505,C,CHURCH ST,CHURCH,50,2,13,FT,33.98583999,-74.01135351,40.71018515,82
453,,,13,CORTLANDT ST,212260677,27,1,10006.0,4/20/2017,00:00:00,576,,,ST,,,,212261922,26,2,10007.0,1,400.8435713,C,CORTLANDT ST,CORTLANDT,28,2,13,FT,294.2877139,-74.01106996,40.71029419,620
106,3.0,FT,13,CHURCH ST,212260904,70,56,10007.0,5/2/2022,00:00:00,144,,,ST,,,,212261088,71,57,10007.0,1,221.9275842,C,CHURCH ST,CHURCH,50,2,13,FT,31.99196146,-74.01015072,40.7120382,67
108,,,13,CHURCH ST,212261527,108,94,10007.0,4/15/2019,00:00:00,146,,,ST,,,,212261771,105,95,10007.0,1,224.9379535,C,CHURCH ST,CHURCH,58,2,13,FT,37.8925192,-74.00930339,40.71319321,69
107,,,13,CHURCH ST,212262509,92,72,10007.0,4/15/2019,00:00:00,145,,,ST,,,,212260885,93,73,10007.0,1,264.8726482,C,CHURCH ST,CHURCH,58,2,13,FT,35.32964879,-74.00977827,40.71256918,68
109,,,13,CHURCH ST,212261388,124,110,10007.0,4/15/2019,00:00:00,147,,,ST,,,,212261536,119,107,10007.0,1,229.0396589,C,CHURCH ST,CHURCH,60,2,13,FT,38.04687534,-74.00888869,40.71372346,70
110,,,13,CHURCH ST,212260804,138,126,10007.0,4/15/2019,00:00:00,148,,,ST,,,,212261728,139,121,10007.0,1,240.4106078,C,CHURCH ST,CHURCH,60,2,13,FT,38.16138914,-74.00846504,40.71426287,71
111,2.0,FT,13,CHURCH ST,212261444,152,140,10007.0,4/15/2019,00:00:00,149,,,ST,,,,212260696,157,141,10007.0,1,240.2350103,C,CHURCH ST,CHURCH,60,2,13,FT,38.39475099,-74.00801809,40.71482772,72
6579,,,13,CHAMBERS ST,212260697,104,70,10007.0,3/17/2017,00:00:00,79666,,,ST,,,,212261675,101,71,10007.0,1,530.1133887,C,CHAMBERS ST,CHAMBERS,34,2,13,TW,295.0342515,-74.00792387,40.7149197,7777
112,2.0,FT,13,CHURCH ST,212261957,192,174,10013.0,4/15/2019,00:00:00,151,,,ST,,,,212261092,193,175,10007.0,1,240.3283149,C,CHURCH ST,CHURCH,60,2,13,FT,38.29457127,-74.00717575,40.7158989,73
7664,2.0,FT,13,READE ST,212261677,85,51,10007.0,4/19/2018,00:00:00,91599,,,ST,,,,212261093,84,52,10007.0,1,535.0999225,C,READE ST,READE,32,2,13,FT,294.5341891,-74.00750919,40.71541704,9421
12562,2.0,FT,13,CHURCH ST,212260840,172,154,10007.0,5/2/2022,00:00:00,190257,,,ST,,,,212261676,173,159,10007.0,1,214.4690237,C,CHURCH ST,CHURCH,60,2,13,FT,38.0323014,-74.00757356,40.71539472,14591
113,2.0,FT,13,CHURCH ST,1222603507,208,194,10013.0,4/15/2019,00:00:00,152,,,ST,,,,1222604147,209,195,10007.0,1,227.113105,C,CHURCH ST,CHURCH,60,2,13,FT,38.40008434,-74.00672842,40.71646366,74
114,2.0,FT,13,CHURCH ST,1222606770,228,210,10013.0,4/15/2019,00:00:00,153,,,ST,,,,1222601831,227,211,10007.0,1,230.4785972,C,CHURCH ST,CHURCH,60,2,13,FT,38.02868291,-74.00630835,40.71699985,75
12654,,,13,WORTH ST,1222605221,61,33,10013.0,3/26/2021,00:00:00,191133,,,ST,,,,1222605227,50,30,10013.0,1,415.6613382,C,WORTH ST,WORTH,40,2,13,FT,114.4646879,-74.00645488,40.71716938,14740
115,2.0,FT,13,CHURCH ST,1222605222,244,230,10013.0,4/15/2019,00:00:00,154,,,ST,,,,1222603660,245,229,10013.0,1,255.0174532,C,CHURCH ST,CHURCH,60,2,13,FT,38.13122053,-74.00588234,40.71754283,76
6742,,,13,LEONARD ST,1222602843,63,35,10013.0,3/17/2017,00:00:00,79864,,,ST,,,,1222605223,64,40,10013.0,1,414.0457005,C,LEONARD ST,LEONARD,30,2,13,TF,114.9263503,-74.0059749,40.71776848,7980
116,2.0,FT,13,CHURCH ST,1222602842,264,246,10013.0,4/15/2019,00:00:00,155,,,ST,,,,1222604521,263,247,10013.0,1,251.1408486,C,CHURCH ST,CHURCH,60,2,13,FT,37.24144351,-74.00541792,40.7181494,77
