ORIG_FID,D_Angle,POINT_X,POINT_Y,SVI_ID
"743",35.85913945,-73.99105263,40.77079468,"916"
"3788",292.7804128,-73.99080051,40.77094049,"4499"
"759",114.2394812,-74.0019965,40.71838308,"928"
"1028",40.14084304,-74.00197274,40.71814137,"1183"
"799",36.41436604,-73.99745499,40.7365138,"957"
"804",35.96381206,-73.99509851,40.73974904,"962"
"805",36.1615107,-73.99466758,40.74033946,"963"
"811",36.06682748,-73.99106897,40.74528271,"969"
"812",36.19646978,-73.99061763,40.74590012,"970"
"3756",292.8868123,-73.99037034,40.74597924,"4415"
"820",36.08341069,-73.98650016,40.7515616,"976"
"828",35.84843544,-73.98282018,40.75662157,"984"
"832",36.05792248,-73.98099153,40.75912538,"988"
"833",36.18534181,-73.98053514,40.75974997,"989"
"841",36.31083949,-73.97684523,40.76480222,"997"
"116",37.24144351,-74.00541792,40.7181494,"77"
"765",294.5201523,-74.00523397,40.71823242,"936"
"596",6.599752701,-74.00604847,40.72433564,"744"
"852",275.9710511,-74.00592073,40.72439058,"1006"
"854",275.2004467,-74.00761862,40.72454977,"1008"
"857",299.7385256,-74.00349711,40.72360299,"1010"
"992",40.3464303,-74.00067839,40.72215718,"1143"
"400",40.30248867,-73.9998925,40.72174558,"572"
"955",329.5103683,-74.00425673,40.73036862,"1087"
"876",328.3762448,-74.00392334,40.73282946,"1024"
"871",344.0509388,-74.00472452,40.73458062,"1020"
"882",329.2590395,-74.00277239,40.73083478,"1025"
"6699",251.8420012,-74.00224893,40.7303965,"7910"
"390",40.0089505,-74.00550671,40.71513214,"564"
"112",38.29457127,-74.00717575,40.7158989,"73"
"886",294.4379166,-74.00650077,40.71572741,"1030"
"429",37.79935914,-74.00845932,40.71648306,"601"
"888",294.7007643,-74.00817631,40.71649458,"1032"
"465",7.005039298,-74.00913298,40.71677737,"630"
"889",294.3204892,-74.00891946,40.71683206,"1033"
"391",40.24078034,-74.00503586,40.71568936,"565"
